table_name,column_name
AF_ChartOfAccounts,SubjectToTaxAuthority
AF_ChartOfAccounts,Options
AF_ChartOfAccounts,FundAccount
AF_ChartOfAccounts,Hidden
AF_ChartOfAccounts,GlAccountId
AF_ChartOfAccounts,SubAccountOfId
AF_ChartOfAccounts,OffsetAccountId
AF_ChartOfAccounts,appfolio_collection
AF_ChartOfAccounts,last_synced
AF_DebtCollectionsStatus,id
AF_DebtCollectionsStatus,Tenants
AF_DebtCollectionsStatus,Unit
AF_DebtCollectionsStatus,Property
AF_DebtCollectionsStatus,PropertyName
AF_DebtCollectionsStatus,PropertyId
AF_DebtCollectionsStatus,PropertyAddress
AF_DebtCollectionsStatus,PropertyStreet1
AF_DebtCollectionsStatus,PropertyStreet2
AF_DebtCollectionsStatus,PropertyCity
AF_DebtCollectionsStatus,PropertyState
AF_DebtCollectionsStatus,PropertyZip
AF_DebtCollectionsStatus,VendorAccountNumber
AF_DebtCollectionsStatus,SubmissionDate
AF_DebtCollectionsStatus,LastPaymentDate
AF_DebtCollectionsStatus,BalancePlaced
AF_DebtCollectionsStatus,AmountCollected
AF_DebtCollectionsStatus,BalanceDue
AF_DebtCollectionsStatus,StatusDescription
AF_DebtCollectionsStatus,PartnerUrl
AF_DebtCollectionsStatus,CollectionPartner
AF_DebtCollectionsStatus,BalanceCancelled
AF_DebtCollectionsStatus,CancellationDate
AF_DebtCollectionsStatus,OccupancyId
AF_DebtCollectionsStatus,UnitId
AF_DebtCollectionsStatus,appfolio_collection
AF_DebtCollectionsStatus,last_synced
AF_DebtCollectionsStatus,UnitName
AF_Delinquency,id
AF_Delinquency,Unit
AF_Delinquency,Name
AF_Delinquency,TenantStatus
AF_Delinquency,Tags
AF_Delinquency,PhoneNumbers
AF_Delinquency,MoveOut
AF_Delinquency,Deposit
AF_Delinquency,PrimaryTenantEmail
AF_Delinquency,UnitType
AF_Delinquency,Property
AF_Delinquency,PropertyName
AF_Delinquency,PropertyId
AF_Delinquency,PropertyAddress
AF_Delinquency,PropertyStreet1
AF_Delinquency,PropertyStreet2
AF_Delinquency,PropertyCity
AF_Delinquency,PropertyState
AF_Delinquency,PropertyZip
AF_Delinquency,AmountReceivable
AF_Delinquency,DelinquentSubsidyAmount
AF_Delinquency,NotYetDue
AF_Delinquency,0To30
AF_Delinquency,30Plus
AF_Delinquency,30To60
AF_Delinquency,60Plus
AF_Delinquency,60To90
AF_Delinquency,90Plus
AF_Delinquency,LastPayment
AF_Delinquency,PaymentAmount
AF_Delinquency,PrepaymentAmount
AF_Delinquency,NSF
AF_Delinquency,LateCount
AF_Delinquency,CertifiedFundsOnly
AF_Delinquency,Rent
AF_Delinquency,DelinquentRent
AF_Delinquency,DelinquencyNotes
AF_Delinquency,MonthlyCharges
AF_Delinquency,InCollections
AF_Delinquency,CollectionsAgency
AF_Delinquency,UnitId
AF_Delinquency,OccupancyId
